Name	Team	GK	DF	MF	FW	Cost	GW1	GW2	GW3	GW4	GW5	Next_Opponent1	Next_Opponent2	Next_Opponent3	Next_Opponent4	Next_Opponent5	News	Selected
Maguire	Leicester	0	1	0	0	5.5	3.1	2.743681667117749	2.338854652771357	2.656631191117718	3.6043133039410638	Wolves	Southampton	Liverpool	Bournemouth	Huddersfield		16.0
Özil	Arsenal	0	0	1	0	8.5	3.0	4.608871596781593	4.405382069564212	3.7713828818742354	4.597930356826642	Chelsea	West Ham	Cardiff	Newcastle	Everton		4.7
Lacazette	Arsenal	0	0	0	1	9.5	3.0	4.608871596781593	4.405382069564212	3.7713828818742354	4.597930356826642	Chelsea	West Ham	Cardiff	Newcastle	Everton		3.8
Kepa	Chelsea	1	0	0	0	5.5	3.0	3.0124437266928386	3.6788673062102952	4.194990123274817	3.088046852015925	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		3.7
Moses	Chelsea	0	1	0	0	6.0	2.9	2.9120289358030775	3.5562383960032853	4.055157119165656	2.9851119569487277	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		3.8
Rüdiger	Chelsea	0	1	0	0	6.0	2.9	2.9120289358030775	3.5562383960032853	4.055157119165656	2.9851119569487277	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		3.2
Richarlison	Everton	0	0	1	0	6.6	2.9	2.355409912670571	3.195639392045749	2.809922530921209	1.9207623297755838	Southampton	Bournemouth	Huddersfield	West Ham	Arsenal		22.4
Mee	Burnley	0	1	0	0	5.0	2.7	2.3155813122697655	1.8954350328010947	2.145967498497014	2.6136703094518747	Watford	Fulham	Man Utd	Wolves	Bournemouth		5.3
Tarkowski	Burnley	0	1	0	0	5.0	2.7	2.3155813122697655	1.8954350328010947	2.145967498497014	2.6136703094518747	Watford	Fulham	Man Utd	Wolves	Bournemouth		9.7
Willian	Chelsea	0	0	1	0	7.5	2.7000000000000006	2.711199354023555	3.310980575589266	3.775491110947336	2.779242166814333	Arsenal	Newcastle	Bournemouth	Cardiff	West Ham		9.4
Tosun	Everton	0	0	0	1	7.0	2.7	2.1929678497277734	2.975250468456387	2.6161347701680224	1.788295962204854	Southampton	Bournemouth	Huddersfield	West Ham	Arsenal		6.9
Lascelles	Newcastle	0	1	0	0	5.0	2.7	2.1919491980430585	1.286410414997442	2.301882343149904	2.317400709172777	Cardiff	Chelsea	Man City	Arsenal	Crystal Palace		8.0
Bellerín	Arsenal	0	1	0	0	5.5	2.6	3.9943553838773806	3.8179977936223164	3.268531830957671	3.9848729759164225	Chelsea	West Ham	Cardiff	Newcastle	Everton		14.1
Hart	Burnley	1	0	0	0	4.5	2.6	2.2298190414449595	1.8252337352899435	2.0664872207749028	2.5168677053981017	Watford	Fulham	Man Utd	Wolves	Bournemouth		5.6
